ambil air,ma ar
beliau pergi ke kantor,kena lean na tagi bua kantor
beliau pergi ke kota,kena lean na tagi bua kota
beliau pergi ke masjid,kena lean na tagi bua masikit
beliau pergi ke mushola,kena lean na tagi bua musala
beliau pergi ke pantai,kena lean na tagi lau tansoa
beliau pergi ke pasar,kena lean na tagi bua pasar
beliau pergi ke salon,kena lean na tagi bua salon
beliau pergi ke sekolah,kena lean na tagi bua sikolah
beliau pergi ke sungai,kena lean na tagi bua arlean
paman pergi ke desa,mema na tagi bua wanu
paman pergi ke gereja,mema na tagi bua gareja
paman pergi ke hutan,mema na tagi rei esi
paman pergi ke kampus,mema na tagi bua kampus
paman pergi ke kantor,mema na tagi bua kantor
paman pergi ke kota,mema na tagi bua kota
paman pergi ke masjid,mema na tagi bua masikit
paman pergi ke mushola,mema na tagi bua musala
paman pergi ke pantai,mema na tagi lau tansoa
paman pergi ke pasar,mema na tagi bua pasar
paman pergi ke salon,mema na tagi bua salon
paman pergi ke sekolah,mema na tagi bua sikolah
paman pergi ke sungai,mema na tagi bua arlean
bibi pergi ke desa,wowa na tagi bua wanu
bibi pergi ke gereja,wowa na tagi bua gareja
bibi pergi ke hutan,wowa na tagi rei esi
bibi pergi ke kampus,wowa na tagi bua kampus
bibi pergi ke kantor,wowa na tagi bua kantor
bibi pergi ke kota,wowa na tagi bua kota
bibi pergi ke masjid,wowa na tagi bua masikit
bibi pergi ke mushola,wowa na tagi bua musala
bibi pergi ke pantai,wowa na tagi lau tansoa
bibi pergi ke pasar,wowa na tagi bua pasar
bibi pergi ke salon,wowa na tagi bua salon
bibi pergi ke sekolah,wowa na tagi bua sikolah
bibi pergi ke sungai,wowa na tagi bua arlean
saya pergi ke desa,aku tagi bua wanu
saya pergi ke gereja,aku tagi bua gareja
saya pergi ke hutan,aku tagi rei esi
saya pergi ke kampus,aku tagi bua kampus
saya pergi ke kantor,aku tagi bua kantor
saya pergi ke kota,aku tagi bua kota
saya pergi ke masjid,aku tagi bua masikit
saya pergi ke mushola,aku tagi bua musala
saya pergi ke pantai,aku tagi lau tansoa
saya pergi ke pasar,aku tagi bua pasar
saya pergi ke salon,aku tagi bua salon
saya pergi ke sekolah,aku tagi bua sikolah
saya pergi ke sungai,aku tagi bua arlean
